NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Cherrubim's Maleficence,0.62,99.4,"(50-80)% increased Chaos Damage (), (160-200)% increased Armour and Evasion (), +(70-100) to maximum Life (), 100% increased total Recovery per second from Life Leech ()"
Replica Eternity Shroud,0.57,92,"Trigger Level 20 Shade Form when Hit (), (109-143)% increased Evasion and Energy Shield (), +(80-100) to maximum Life (), +(20-23)% to Chaos Resistance (), Gain (3-5)% of Physical Damage as Extra Chaos Damage per Elder Item Equipped (), Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items ()"
The Covenant,0.56,90,"Socketed Gems are Supported by Level 29 Added Chaos Damage (), +(20-30) to Intelligence (), (210-250)% increased Energy Shield (), 10% increased maximum Life (), Skills gain a Base Life Cost equal to 100% of Base Mana Cost ()"
Pragmatism,0.55,88,"+12 to Level of Socketed Skill Gems (), (82-120)% increased Armour (), +(66-100) to maximum Mana (), -2 to level of Socketed Skill Gems per Socketed Gem ()"
Atziri's Splendour,0.54,86.14,"+(70-77) to maximum Energy Shield (), (282-298)% increased Energy Shield (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
The Coming Calamity,0.52,84,"+2 to Level of Socketed Herald Gems (), (80-100)% increased Energy Shield (), 35% chance to avoid being Stunned for each Herald Buff affecting you (), Mana Reservation of Herald Skills is always 45% ()"
Sporeguard,0.52,83,"Trigger Level 10 Contaminate when you Kill an Enemy (), (200-248)% increased Armour and Energy Shield (), (7-10)% increased maximum Life (), +(17-23)% to Chaos Resistance (), Enemies on Fungal Ground you Kill Explode, dealing 5% of their Life as Chaos Damage (), You have Fungal Ground around you while stationary ()"
Voidfletcher,0.51,82,"Consumes a Void Charge to Trigger Level 20 Void Shot when you fire Arrows with a Non-Triggered Skill (), Adds (31-40) to (81-98) Cold Damage to Attacks (), +(86-113) to maximum Energy Shield (), +(21-30)% to Cold Resistance (), Gain (20-39) Mana per Enemy Killed (), 30% increased Projectile Speed (), 5 Maximum Void Charges (), Gain a Void Charge every 0.5 seconds ()"
Cloak of Defiance,0.5,80,"(300-400)% increased Evasion and Energy Shield (), +(100-150) to maximum Mana (), Regenerate 1% of Mana per second (), Mind Over Matter ()"
Queen of the Forest,0.5,80,"(200-240)% increased Evasion Rating (), +(60-70) to maximum Life (), +(6-10)% to Fire Resistance (), +(26-40)% to Cold Resistance (), +(11-25)% to Lightning Resistance (), 25% reduced Movement Speed (), 1% increased Movement Speed per 600 Evasion Rating, up to 75% (), -(50-40) Physical Damage taken from Hits by Animals ()"
Slavedriver's Hand,0.5,80,"+(30-40) to Dexterity (), (200-250)% increased Evasion and Energy Shield (), (20-30)% reduced Trap Throwing Speed (), Skills used by Traps have (10-20)% increased Area of Effect (), Increases and Reductions to Cast Speed also Apply to Trap Throwing Speed (), 10% chance to gain an Endurance, Frenzy or Power Charge when any
of your Traps are Triggered by an Enemy (), Skills which throw Traps Cost Life instead of Mana ()"
Replica Shroud of the Lightless,0.5,80,Has 6 Abyssal Sockets ()
Soul Ascension,0.5,80,"(120-150)% increased Evasion and Energy Shield (), +(17-29)% to Chaos Resistance (), Eat a Soul when you Hit a Rare or Unique Enemy, no more than once every 0.5 seconds (), +(-10-10) to maximum number of Eaten Souls ()"
Annihilation's Approach,0.5,80,"Grants Level 20 Approaching Flames Skill (), (60-100)% increased Armour and Evasion (), 30% increased Movement Speed (), Cannot be Chilled (), Cannot be Frozen (), Take 6000 Fire Damage per Second while Flame-Touched (), Gain Adrenaline when you become Flame-Touched (), Lose Adrenaline when you cease to be Flame-Touched ()"
Dawnstrider,0.5,80,"Socketed Slam Gems are Supported by Level 25 Earthbreaker (), +(81-99) to maximum Life (), 30% increased Movement Speed (), (3-5)% of Damage from Hits is taken from your nearest Totem's Life before you (), Ancestral Bond ()"
Bramblejack,0.48,76.8,"+(30-60) to maximum Life (), -(15-10) Physical Damage taken from Attack Hits (), 1000% of Melee Physical Damage taken reflected to Attacker ()"
Faithguard,0.48,76.5,"+(20-30) to Intelligence (), (25-35)% increased Ward (), (40-60)% faster Restoration of Ward (), (15-25)% increased Light Radius (), Increases and Reductions to Maximum Energy Shield instead apply to Ward ()"
Cloak of Tawm'r Isley,0.47,75.5,"Socketed Minion Gems are Supported by Level 16 Life Leech (), (150-200)% increased Energy Shield (), Minions cannot be Blinded (), Minions have 15% chance to Blind Enemies on hit (), Found Magic Items drop Identified ()"
Indigon,0.45,72,"(155-180)% increased Energy Shield (), (6-10)% increased maximum Mana (), Recover (8-10)% of Life when you use a Mana Flask (), Non-instant Mana Recovery from Flasks is also Recovered as Life (), (51-60)% increased Cost of Skills for each 200 total Mana Spent Recently (), (20-25)% increased Spell Damage for each 200 total Mana you have Spent Recently, up to 2000% ()"
Doppelgänger Guise,0.44,71.34,"Grants Level 20 Unhinge Skill (), (41-58)% more Critical Strike Chance while Insane (), Enemies Killed by your Hits are destroyed while Insane (), (32-40)% less Physical and Chaos Damage Taken while Sane (), Regenerate 10% Life over one second when Hit while Sane ()"
Hyrri's Ire,0.44,70,"+30% chance to Suppress Spell Damage (), +(40-50) to Dexterity (), (140-220)% increased Evasion Rating (), 25% increased Chill Duration on Enemies (), (105-145) to (160-200) Added Cold Damage with Bow Attacks ()"
The Iron Fortress,0.44,70,"+1% Chance to Block Attack Damage per 50 Strength (), Chance to Block Spell Damage is Unlucky (), +(60-120) to Strength (), (80-100)% increased Armour (), 10% reduced Movement Speed (), Strength's Damage Bonus instead grants 3% increased Melee
Physical Damage per 10 Strength ()"
Doryani's Prototype,0.44,70,"(150-200)% increased Armour and Energy Shield (), +(60-90) to maximum Life (), Deal no Non-Lightning Damage (), Armour also applies to Lightning Damage taken from Hits (), Lightning Resistance does not affect Lightning Damage taken (), Nearby Enemies have Lightning Resistance equal to yours ()"
The Fourth Vow,0.44,70,"(150-250)% increased Armour and Energy Shield (), +(17-29)% to Chaos Resistance (), Regenerate 3% of Life per second (), Armour also applies to Chaos Damage taken from Hits (), Physical Damage taken bypasses Energy Shield ()"
Doppelgänger Guise,0.42,67.2,"Grants Level 20 Unhinge Skill (), (40-60)% more Critical Strike Chance while Insane (), Enemies Killed by your Hits are destroyed while Insane (), (30-40)% less Physical and Chaos Damage Taken while Sane (), Regenerate 10% Life over one second when Hit while Sane ()"
The Eternity Shroud,0.41,65.89,"Trigger Level 20 Glimpse of Eternity when Hit (), (113-138)% increased Evasion and Energy Shield (), +(73-97) to maximum Life (), +(17-23)% to Chaos Resistance (), Gain (3-5)% of Elemental Damage as Extra Chaos Damage per Shaper Item Equipped (), Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Shaper Items ()"
Foxshade,0.4,65,"+(20-30) to Dexterity (), +1000 to Evasion Rating while on Full Life (), (51-70)% increased Evasion Rating (), 30% increased Movement Speed when on Full Life (), Damage of Enemies Hitting you is Unlucky while you are on Full Life ()"
Atziri's Splendour,0.39,63,"(386-411)% increased Evasion Rating (), +(95-99) to maximum Life (), +(22-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
The Shattered Divinity,0.39,62,"Grants Summon Greater Harbinger of Directions Skill (), +(30-50) to Strength and Dexterity (), Adds (19-22) to (30-35) Fire Damage to Spells and Attacks (), Adds (19-22) to (30-35) Cold Damage to Spells and Attacks (), +(15-25)% to Fire and Cold Resistances ()"
The Admiral,0.39,62,"+(30-40) to Intelligence (), (110-135)% increased Evasion and Energy Shield (), +(14-20)% to all Elemental Resistances (), (5-10)% chance to Freeze, Shock and Ignite (), Elemental Damage you Deal with Hits is Resisted by lowest Elemental Resistance instead ()"
The Brass Dome,0.37,60,"(350-400)% increased Armour (), +(1-5)% to all maximum Elemental Resistances (), Strength provides no bonus to Maximum Life (), Take no Extra Damage from Critical Strikes ()"
Zahndethus' Cassock,0.37,60,"Adds 1 to 40 Lightning Damage to Attacks (), (125-150)% increased Energy Shield (), +(40-50)% to Chaos Resistance (), 25% increased Light Radius (), 100% chance to create Consecrated Ground when you Block ()"
Inpulsa's Broken Heart,0.37,60,"+(60-80) to maximum Life (), (20-50)% increased Damage if you have Shocked an Enemy Recently (), (15-25)% increased Effect of Shock (), Shocked Enemies you Kill Explode, dealing 5% of
their Life as Lightning Damage which cannot Shock (), Unaffected by Shock ()"
Replica Restless Ward,0.37,60,"(220-250)% increased Evasion and Energy Shield (), +(60-80) to maximum Life (), 6% increased Movement Speed per Frenzy Charge (), -2 to Maximum Endurance Charges (), -2 to Maximum Frenzy Charges (), Regenerate (100.6-139.7) Life per second per Endurance Charge ()"
Expedition's End,0.37,60,"(100-147)% increased Evasion and Energy Shield (), (5-10)% increased maximum Life (), All Damage can Freeze (), Freeze Chilled Enemies as though dealing (53-100)% more Damage (), Nearby Enemies are Chilled ()"
Apep's Supremacy,0.37,59.2,"Adds (50-55) to (72-80) Chaos Damage (), +(130-150) to maximum Energy Shield (), (30-50)% faster start of Energy Shield Recharge (), You take Chaos Damage instead of Physical Damage from Bleeding (), +25% chance to be Poisoned (), +3% to all maximum Resistances while Poisoned (), Poisons on you expire 50% slower ()"
Atziri's Splendour,0.35,56,"(202-220)% increased Armour and Energy Shield (), +(95-100) to maximum Life (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Cloak of Flame,0.34,55,"+(50-75)% to Fire Resistance (), (40-75)% increased Ignite Duration on Enemies (), Reflects 100 Fire Damage to Melee Attackers (), 40% of Physical Damage taken as Fire Damage ()"
Shavronne's Wrappings,0.33,53,"(100-150)% increased Energy Shield (), 10% faster start of Energy Shield Recharge (), +(30-40)% to Lightning Resistance (), Reflects 1 to 250 Lightning Damage to Melee Attackers (), Chaos Damage taken does not bypass Energy Shield ()"
Craiceann's Carapace,0.33,52.5,"Grants Level 20 Aspect of the Crab Skill (), (209-248)% increased Armour (), +(101-119) to maximum Life (), +(25-30)% to Fire and Cold Resistances (), Bleeding cannot be inflicted on you (), +5 to Maximum number of Crab Barriers ()"
Atziri's Splendour,0.32,52,"(404-420)% increased Armour (), +(96-100) to maximum Life (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Icetomb,0.32,51,"+(30-40) to Strength (), +(30-40) to Intelligence (), (140-160)% increased Armour and Energy Shield (), +(50-75)% to Cold Resistance (), Cannot be Chilled (), 20% chance to Freeze Enemies for 1 second when they Hit you ()"
Replica Perfect Form,0.32,51,"20% Chance to Block Attack Damage (), (152-199)% increased Evasion Rating (), -30% to Cold Resistance (), Evasion Rating is increased by Overcapped Cold Resistance (), Versatile Combatant ()"
Ashrend,0.31,50,"(80-100)% increased Evasion Rating (), +(40-50)% to Fire Resistance (), Cannot be Ignited (), (75-149)% increased Physical Damage with Ranged Weapons (), -(60-30) Physical Damage taken from Attack Hits ()"
Carcass Jack,0.31,50,"(120-150)% increased Evasion and Energy Shield (), +(50-70) to maximum Life (), +(9-12)% to all Elemental Resistances (), (40-50)% increased Area of Effect (), (40-50)% increased Area Damage (), Extra gore ()"
Geofri's Sanctuary,0.31,50,"(50-75)% increased Armour and Energy Shield (), +(30-40) to maximum Energy Shield (), +(60-70) to maximum Life (), +(14-18)% to all Elemental Resistances (), +2 maximum Energy Shield per 5 Strength (), Zealot's Oath ()"
Kintsugi,0.31,50,"(120-160)% increased Evasion Rating (), +(30-50)% to Fire Resistance (), 35% less Damage taken if you have not been Hit Recently (), 100% increased Evasion Rating if you have been Hit Recently ()"
The Rat Cage,0.31,50,"(100-120)% increased Evasion Rating (), +(202-295) to maximum Life (), 15% increased Movement Speed (), 100% of Fire Damage from Hits taken as Physical Damage ()"
Gruthkul's Pelt,0.31,50,"100% increased Global Physical Damage (), (302-400)% increased Armour and Evasion (), +(240-300) to maximum Life (), Regenerate 10% of Life per second (), 15% increased Character Size (), Spell Skills deal no Damage (), Your Spells are disabled ()"
Yriel's Fostering,0.31,50,"Grants Level 20 Summon Bestial Rhoa Skill (), +(302-398) to Accuracy Rating (), (131-150)% increased Evasion Rating (), +(90-99) to maximum Life (), Projectile Attack Skills have (40-60)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to Maim on Hit while
you have a Bestial Minion (), (10-15)% increased Attack and Movement Speed while you have a Bestial Minion ()"
Fleshcrafter,0.31,50,"(100-150)% increased Energy Shield (), Minions Convert 2% of their Maximum Life to Maximum Energy
Shield per 1% Chaos Resistance they have (), Chaos Damage taken does not bypass Minions' Energy Shield (), Minions have (50-100)% faster start of Energy Shield Recharge (), While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances ()"
Ghostwrithe,0.31,50,"+(100-200) to maximum Energy Shield (), +(50-100) to maximum Life (), +50% to Chaos Resistance (), 50% of Maximum Life Converted to Energy Shield ()"
Briskwrap,0.31,50,"15% increased Dexterity (), +(120-180) to Evasion Rating (), +(30-40)% to Cold Resistance (), (60-100)% increased Mana Recovery from Flasks (), 1% increased Damage per 15 Dexterity ()"
Voidwalker,0.31,50,"+(31-50) to Dexterity (), (141-171)% increased Evasion and Energy Shield (), 30% increased Movement Speed (), 20% chance to Avoid Projectiles while Phasing (), You have Phasing if you've Killed Recently (), Projectiles Pierce 5 additional Targets while you have Phasing (), Celestial Footprints ()"
Shaper's Touch,0.31,50,"(81-119)% increased Armour and Energy Shield (), +4 Accuracy Rating per 2 Intelligence (), +1 Life per 4 Dexterity (), +1 Mana per 4 Strength (), 1% increased Energy Shield per 10 Strength (), 2% increased Evasion Rating per 10 Intelligence (), 2% increased Melee Physical Damage per 10 Dexterity ()"
Utula's Hunger,0.31,50,"(60-100)% increased Armour (), Recover (1-3)% of Life on Kill (), (30-40)% increased Stun and Block Recovery (), +(701-1000) to maximum Life if there are no Life Modifiers on other Equipped Items ()"
